QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,Percentage Change C_LAST,Percentage Change UNDERLYING_LAST,Percentage Gain C_LAST,Percentage Gain UNDERLYING_LAST,Days to Max C_LAST,Days to Max UNDERLYING_LAST
2017-05-09,153.97,2019-01-18,1547845200,619.04,0.15549,0.00555,0.47771,-0.00756,0.34971,0.21478,416.0,3.1, 87 x 558,3.0,3.2,210.0,56.0,0.364,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-10,153.26,2019-01-18,1547845200,618.04,0.15299,0.00542,0.47003,-0.0081,0.34103,0.21682,139.0,3.04, 3 x 722,2.9,3.2,210.0,56.7,0.37,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-12,156.1,2019-01-18,1547845200,616.04,0.18168,0.00585,0.53515,-0.00889,0.4083,0.22384,112.0,4.2, 50 x 801,3.7,4.2,210.0,53.9,0.345,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-15,155.68,2019-01-18,1547845200,613.04,0.17905,0.00575,0.52774,-0.00951,0.39913,0.22357,81.0,3.91, 216 x 14,3.65,4.04,210.0,54.3,0.349,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-16,155.4,2019-01-18,1547845200,612.04,0.1808,0.00575,0.5287,-0.0094,0.40092,0.22656,5.0,3.85, 1 x 78,3.8,4.05,210.0,54.6,0.351,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-17,150.19,2019-01-18,1547845200,611.04,0.16431,0.00543,0.48075,-0.0089,0.35108,0.23447,708.0,3.4, 1 x 39,3.35,3.6,210.0,59.8,0.398,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-18,152.53,2019-01-18,1547845200,610.04,0.17774,0.00559,0.51288,-0.00973,0.3841,0.23638,245.0,4.1, 265 x 398,3.75,4.1,210.0,57.5,0.377,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-19,152.97,2019-01-18,1547845200,609.04,0.18484,0.00561,0.52636,-0.00985,0.39678,0.24057,23.0,4.15, 50 x 10,4.0,4.35,210.0,57.0,0.373,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-22,153.99,2019-01-18,1547845200,606.04,0.18828,0.00567,0.53508,-0.00995,0.40532,0.23878,54.0,4.4, 318 x 129,4.09,4.46,210.0,56.0,0.364,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-23,153.8,2019-01-18,1547845200,605.04,0.18747,0.00562,0.53228,-0.01014,0.40295,0.23918,15.0,4.42, 1 x 104,4.14,4.35,210.0,56.2,0.365,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-24,153.23,2019-01-18,1547845200,604.04,0.18187,0.00558,0.52003,-0.01006,0.38967,0.23925,94.0,4.11, 2 x 495,4.0,4.15,210.0,56.8,0.37,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-25,153.91,2019-01-18,1547845200,603.04,0.17839,0.00561,0.51711,-0.00939,0.38619,0.23381,61.0,4.0, 1 x 451,3.89,3.95,210.0,56.1,0.364,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-26,153.59,2019-01-18,1547845200,602.04,0.16882,0.00559,0.49661,-0.00887,0.36516,0.22795,102.0,3.6, 5 x 1,3.51,3.65,210.0,56.4,0.367,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-30,153.68,2019-01-18,1547845200,598.04,0.1708,0.0056,0.4987,-0.00919,0.36566,0.22971,7.0,3.7, 5 x 718,3.51,3.75,210.0,56.3,0.366,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-06-06,154.45,2019-01-18,1547845200,591.04,0.17371,0.00567,0.50473,-0.00939,0.37157,0.23013,17.0,4.0, 679 x 854,3.55,3.89,210.0,55.6,0.36,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-06-07,155.37,2019-01-18,1547845200,590.04,0.1782,0.00579,0.51566,-0.0091,0.3826,0.22923,74.0,3.83, 10 x 1064,3.69,4.01,210.0,54.6,0.352,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-06-09,148.97,2019-01-18,1547845200,588.04,0.1494,0.00524,0.4405,-0.00799,0.30884,0.23349,331.0,2.8, 20 x 262,2.8,3.26,210.0,61.0,0.41,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-06-12,145.4,2019-01-18,1547845200,585.04,0.12189,0.00476,0.37194,-0.0074,0.24647,0.22836,122.0,2.2, 553 x 160,2.05,2.44,210.0,64.6,0.444,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-06-13,146.59,2019-01-18,1547845200,584.04,0.1311,0.0049,0.39374,-0.00707,0.26547,0.23207,2.0,2.56, 596 x 26,2.29,2.71,210.0,63.4,0.433,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-06-15,144.3,2019-01-18,1547845200,582.04,0.12497,0.00476,0.37532,-0.00739,0.24811,0.23943,31.0,2.51, 1 x 110,2.3,2.51,210.0,65.7,0.455,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-06-16,142.26,2019-01-18,1547845200,581.04,0.11704,0.00459,0.35312,-0.00667,0.22868,0.24084,23.0,2.2, 20 x 83,2.1,2.29,210.0,67.7,0.476,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-06-26,145.8,2019-01-18,1547845200,571.04,0.13097,0.0049,0.38877,-0.0076,0.25775,0.23975,255.0,2.5, 2 x 350,2.47,2.64,210.0,64.2,0.44,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
